geneid	chr	left	right
CCDC18-AS1	1	93262186	93346025
CCDC183-AS1	9	136803927	136808848
CCDC26	8	128634199	129723023
CCDC28A-AS1	6	138725211	138773709
CCDC90B-AS1	11	83286120	83423516
CCL3-AS1	17	36072866	36090134
CCNO-DT	5	55233050	55295578
CCNT2-AS1	2	134726784	134918739
CCNY-AS1	10	35219881	35337256
CCR5AS	3	46363984	46407184
CCT6P3	7	65064999	65073848
CD109-AS1	6	73669691	73696297
CD27-AS1	12	6439001	6452092
CD2BP2-DT	16	30354665	30363713
CD300LD-AS1	17	74584679	74626003
CD63-AS1	12	55729078	55730857
CD99P1	Y	2609415	2623453
CDC42-AS1	1	22028317	22052927
CDC42-IT1	1	22059197	22064199
CDH13-AS2	16	83789801	83807834
CDH8-AS1	16	61918321	61940836
CDK13-DT	7	39947522	39949977
CDKN2B-AS1	9	21994139	22212895
CDR2-DT	16	22374859	22378180
CEACAM16-AS1	19	44608568	44725315
CEACAM22P	19	44542798	44549166
CEBPB-AS1	20	50184598	50192039
CELF2-AS2	10	11071541	11105773
CELF2-DT	10	10326875	10462426
CENATAC-DT	11	118994824	118998004
CENPN-AS1	16	81016792	81035759
CEP250-AS1	20	35476203	35491017
CEP83-DT	12	94460000	94462484
CERNA1	15	52179997	52230123
CERS6-AS1	2	168771951	168786961
CES1P1	16	55760642	55793960
CFAP100-DT	3	126376505	126394851
CFAP20DC-DT	3	59050098	59811310
CFAP418-AS1	8	95204456	95811254
CFAP58-DT	10	104351296	104353685
CFAP95-DT	9	69817047	69820794
CFL1P1	10	87843870	87844280
CFLAR-AS1	2	201140278	201157823
CHASERR	15	92819305	92899701
CHD1-DT	5	98928530	98995013
CHKB-DT	22	50583026	50597599
CHL1-AS2	3	109707	197866
CHMP3-AS1	2	86562070	86618766
CHRM3-AS2	1	239703381	239770130
CHROMR	2	178413476	178442854
CHUK-DT	10	100229623	100267164
CKMT2-AS1	5	81201341	81301582
CLCA4-AS1	1	86569024	86704484
CLEC12A-AS1	12	9948137	9953336
CLN8-AS1	8	1758208	1764663
CMKLR2-AS	2	206203543	206266251
CNIH3-AS2	1	224608130	224618948
CNN3-DT	1	94926381	95067545
CNPY2-AS1	12	56300039	56317992
CNTNAP2-AS1	7	147080934	147097609
CNTNAP5-DT	2	124011984	124025175
COLCA1	11	111290787	111305498
COP1-DT	1	176207344	176447919
COPB2-DT	3	139389705	139782699
COPDA1	14	105647924	105649057
COPS8-DT	2	236910771	237085841
COQ7-DT	16	19062144	19089487
COX10-DT	17	13755574	14069508
CPB2-AS1	13	46052497	46161379
CPEB1-AS1	15	82647770	82692820
CPLANE1-AS1	5	37248903	37254845
CPVL-AS2	7	28955756	29013370
CRAT37	15	91373681	91653390
CRMA	20	62540159	62551535
CRNDE	16	54844649	54931354
CROCCP2	1	16618969	16657232
CROCCP3	1	16458753	16499257
CRTC3-AS1	15	90617426	90717253
CRYBB2P1	22	25455712	25459681
CSAG4	X	152739864	152740681
CSE1L-DT	20	49017207	49046185
CSGALNACT2-DT	10	43136823	43138334
CSRP1-AS1	1	201507191	201584527
CSTF3-DT	11	33161544	33252611
CT69	6	134428239	134524668
CT70	9	104970593	104991818
CTBP1-AS	4	1210120	1218591
CTBP1-DT	4	1248877	1288856
CTNNA2-AS1	2	79492704	79513900
CTSLP2	10	47581211	47582321
CTTN-DT	11	70371622	70398492
CTXN2-AS1	15	48187121	48191702
CXXC4-AS1	4	104490803	104734546
CYLD-AS1	16	50727417	50742951
CYP1B1-AS1	2	38073447	38231651
CYP2B7P	19	40924273	40949234
CYP2G1P	19	40891219	40900155
CYP2U1-AS1	4	107863473	107989761
CYP4A22-AS1	1	47096653	47181087
CYP4F26P	9	33580695	33607874
CYP51A1-AS1	7	92134563	92180725
CYTOR	2	87454781	87636740
CYYR1-AS1	21	26278778	26569252
CZIB-DT	1	53220663	53224253
DAB1-AS1	1	57860532	57880907
DANCR	4	52712325	52723623
DANT2	X	115694493	115969214
DARS1-AS1	2	135985122	136078527
DBET	4	190064502	190067864
DCTN1-AS1	2	74385474	74393882
DCTN6-DT	8	30155828	30156673
DCXR-DT	17	82037842	82039380
DDN-AS1	12	48998367	49019243
DDR1-DT	6	30866982	30875918
DDX11L16	Y	57212184	57214397
DDX11L2	2	113599036	113601261
DDX19A-DT	16	70315442	70346814
DDX39B-AS1	6	31542304	31543138
DDX3ILA1	7	77990384	77995171
DDX59-AS1	1	200669489	200694250
DELEC1	9	114850968	115402644
DENND3-AS1	8	141124678	141130119
DENND5B-AS1	12	31589920	31642466
DENND6A-DT	3	57693179	57696596
DEPTOR-AS1	8	119867419	119874582
DGAT2-DT	11	75758455	75768674
DGCR11	22	19046162	19048375
DGCR5	22	18969692	19031242
DHRS4-AS1	14	23938219	24075861
DHRSX-IT1	Y	2334295	2336410
DHX9-AS1	1	182837185	182839561
DIAPH2-AS1	X	97431286	97642589
DICER1-AS1	14	95157645	95181475
DIO3OS	14	101552221	101620355
DIP2C-AS1	10	649948	669581
DISC1-IT1	1	231925834	231945233
DISC1FP1	11	90251204	90915649
DLEU1	13	50081725	50906856
DLEU2	13	49956669	50126118
DLGAP1-AS1	18	3593732	3598363
DLGAP1-AS2	18	3594114	3610103
DLGAP1-AS3	18	3878058	3897069
DLGAP1-AS4	18	3930914	4024157
DLGAP4-AS1	20	36507702	36573410
DLX6-AS1	7	96955141	97014088
DMTF1-AS1	7	87151416	87152837
DNAH10OS	12	123925461	123934984
DNAH17-AS1	17	78484882	78503056
DNAJA4-DT	15	78250502	78265978
DNAJC27-AS1	2	24971360	25039716
DNAJC3-DT	13	95648711	95677367
DNAJC9-AS1	10	73247341	73276984
DNM1P35	15	75727670	75739045
DNM3OS	1	172138397	172144840
DNMBP-AS1	10	99927010	99959050
DOCK8-AS1	9	212824	215893
DPH5-DT	1	101025825	101090513
DPP10-AS1	2	115126622	115163905
DPP3-DT	11	66472958	66480301
DPY19L2P2	7	103175343	103277638
DPY19L2P3	7	29650227	29742594
DPY19L3-DT	19	32347476	32407824
DPYD-AS1	1	97095923	97322955
DRAIC	15	69462921	69855357
DSCAM-AS1	21	40383029	40385439
DSP-AS1	6	7539659	7543119
DSTNP2	12	6884898	6885684
DTX2P1-UPK3BP1-PMS2P11	7	76959835	77198626
DUBR	3	107220744	107462923
DUSP5-DT	10	110399983	110496683
DUT-AS1	15	48312353	48331856
DUXAP8	22	15826566	15827187
DYNC1LI2-DT	16	66751752	66754740
DYNLL2-DT	17	58076891	58083233
DYNLRB2-AS1	16	80154979	80569670
E2F5-DT	8	85086590	85178806
EAF1-AS1	3	15436171	15449994
EBLN3P	9	37034202	37090928
ECE1-AS1	1	21293290	21299874
ECI1-AS1	16	2240487	2241818
EDIL3-DT	5	84382422	84606399
EDNRB-AS1	13	77779723	77908445
EDRF1-AS1	10	125707416	125752110
EEF1A1-AS1	6	73523618	73576267
EFCAB6-AS1	22	43516107	43560063
EFHD2-AS1	1	15316844	15411229
EGFLAM-AS4	5	38282264	38290986
EHHADH-AS1	3	185162871	185191955
EIF2AK3-DT	2	88627539	88631825
EIF3J-DT	15	44526572	44537088
ELF3-AS1	1	201995696	202010463
ELN-AS1	7	74058905	74062308
ELOA-AS1	1	23706901	23778340
EMBP1	1	121519345	121568791
EML2-AS1	19	45641494	45643020
EML4-AS1	2	42142417	42170486
EMSLR	7	101308258	101314800
EMSY-DT	11	76435525	76444773
EMX2OS	10	117473213	117545068
ENOX1-AS1	13	43543918	43548056
ENSG00000145063	2	11105317	11132821
ENSG00000145075	3	180614008	180870933
ENSG00000151303	10	86970741	87024732
ENSG00000174171	15	41892747	41899528
ENSG00000175604	16	12086746	12090302
ENSG00000176320	1	158197753	158203955
ENSG00000176593	19	58002061	58021943
ENSG00000177699	15	78978889	78985926
ENSG00000177725	8	22169338	22171708
ENSG00000179253	20	61717506	61719748
ENSG00000179577	8	104419512	104421500
ENSG00000180458	19	37545470	37549171
ENSG00000182376	16	88742767	88745748
ENSG00000183154	8	37702827	37747438
ENSG00000183308	2	200963045	201015949
ENSG00000187185	16	57798186	57816949
ENSG00000187904	4	6995341	6998958
ENSG00000187951	15	30658717	30772993
ENSG00000189229	3	6490460	6736750
ENSG00000196566	10	87610163	87660299
ENSG00000197210	22	21114570	21124451
ENSG00000197332	19	11634404	11686738
ENSG00000197462	7	125910178	126008069
ENSG00000197644	2	29899597	29907199
ENSG00000197670	20	53552770	53575863
ENSG00000197813	19	49331044	49340303
ENSG00000197815	17	17858227	17860041
ENSG00000198358	1	160932465	160949922
ENSG00000198671	12	65017468	65054124
ENSG00000203266	20	57110640	57122745
ENSG00000203279	9	97157784	97238790
ENSG00000203325	1	32052291	32073474
ENSG00000203327	2	55214387	55216126
ENSG00000203364	9	93147040	93148556
ENSG00000203392	15	75678548	75680752
ENSG00000203395	2	68361214	68365584
ENSG00000203402	X	47297852	47298721
ENSG00000203434	10	108547975	108561815
ENSG00000203469	1	10458555	10459338
ENSG00000203472	16	75475896	75495407
ENSG00000203565	10	33684401	33713236
ENSG00000203593	12	2004625	2011392
ENSG00000203605	1	63139250	63163153
ENSG00000203620	1	31836156	31881778
ENSG00000203635	2	1620510	1625419
ENSG00000203643	2	11721619	11724222
ENSG00000203644	3	129847048	129847957
ENSG00000203987	9	137867924	137892570
ENSG00000204117	20	37676886	37683234
ENSG00000204620	X	48567591	48574902
ENSG00000204684	20	22371216	22473375
ENSG00000204876	7	155952030	155968391
ENSG00000205325	17	14767583	14780686
ENSG00000205414	16	50606076	50613684
ENSG00000205682	4	61420246	61428221
ENSG00000205740	10	934706	988394
ENSG00000205890	16	3032481	3039133
ENSG00000205959	4	8482270	8516759
ENSG00000206249	20	38288331	38326536
ENSG00000206567	3	10004048	10011209
ENSG00000212663	X	13980066	13988820
ENSG00000212930	5	91223419	91223967
ENSG00000212939	22	49548681	49556473
ENSG00000213062	1	169486072	169500182
ENSG00000213121	6	153231246	153347488
ENSG00000213279	22	49572264	49575427
ENSG00000213963	2	177271125	177392699
ENSG00000213981	2	170640374	170695383
ENSG00000214248	19	7898804	7903864
ENSG00000214559	4	98251688	98261630
ENSG00000214650	12	124513222	124516858
ENSG00000214719	17	30576409	30672789
ENSG00000214770	14	64329431	64338639
ENSG00000214773	3	47601715	47604677
ENSG00000214797	11	59268876	59284033
ENSG00000214803	8	124192671	124247398
ENSG00000214919	3	155742142	155743726
ENSG00000214942	5	89889053	89990883
ENSG00000215014	1	1574102	1577075
ENSG00000215022	6	13264861	13295586
ENSG00000215023	2	241800916	241801907
ENSG00000215841	11	73206674	73218250
ENSG00000217455	7	3074453	3194812
ENSG00000220256	2	239762690	239824764
ENSG00000223393	1	230868259	230879141
ENSG00000223502	10	51062577	51075079
ENSG00000223522	2	28307063	28310560
ENSG00000223523	2	188596444	188839445
ENSG00000223576	13	19841827	19843672
ENSG00000223660	19	54199454	54199971
ENSG00000223720	1	48172972	48206857
ENSG00000223831	22	30598309	30606687
ENSG00000223930	3	178164008	178385479
ENSG00000223944	1	37083759	37325177
ENSG00000223969	7	90590619	90597494
ENSG00000224029	6	150624677	150626086
ENSG00000224091	11	5205030	5208647
ENSG00000224099	2	195448518	195481827
ENSG00000224100	21	42964639	42965363
ENSG00000224216	X	155334858	155382951
ENSG00000224277	22	23567064	23573507
ENSG00000224301	10	63123929	63125587
ENSG00000224330	7	13854355	13875750
ENSG00000224375	7	134684144	134687990
ENSG00000224404	22	34191194	34210663
ENSG00000224413	21	46037052	46039807
ENSG00000224478	6	159094093	159116259
ENSG00000224515	1	161556290	161557078
ENSG00000224521	1	248535534	248565299
ENSG00000224635	20	38404893	38416797
ENSG00000224675	2	154435853	154457731
ENSG00000224691	1	186176814	186177302
ENSG00000224698	1	108420689	108433196
ENSG00000224713	12	57612118	57619638
ENSG00000224733	6	128500527	128501176
ENSG00000224738	17	59106598	59118456
ENSG00000224746	7	135774501	135932997
ENSG00000224794	22	39292988	39295589
ENSG00000224810	1	182062677	182069253
ENSG00000224848	9	96686960	96774318
ENSG00000224905	21	14027363	14175307
ENSG00000224935	9	12098650	12159148
ENSG00000224969	1	1011997	1013193
ENSG00000225032	9	127816066	127822520
ENSG00000225044	3	1962381	1987597
ENSG00000225096	6	57961438	58438364
ENSG00000225107	2	145569294	145588076
ENSG00000225173	6	28836783	28839238
ENSG00000225209	7	68020210	68065653
ENSG00000225300	1	246605873	246608102
ENSG00000225313	1	33307348	33349245
ENSG00000225399	3	49260085	49261316
ENSG00000225420	2	88503987	88575610
ENSG00000225488	7	56477588	56484386
ENSG00000225588	2	107362282	107407329
ENSG00000225598	1	80373364	80374621
ENSG00000225612	7	155267137	155270912
ENSG00000225647	7	108598336	108639349
ENSG00000225718	7	69145185	69430923
ENSG00000225761	10	74005137	74027915
ENSG00000225807	7	100509406	100530321
ENSG00000225885	8	118281290	118400605
ENSG00000225886	1	27669468	27703063
ENSG00000225889	2	64143239	64261510
ENSG00000225929	22	50735813	50738173
ENSG00000225963	2	230121370	230174223
ENSG00000226043	21	22200640	22420819
ENSG00000226087	2	47175209	47240886
ENSG00000226149	6	129439485	129576047
ENSG00000226180	16	87693537	87696147
ENSG00000226239	20	32005671	32031591
ENSG00000226249	6	147741434	147743432
ENSG00000226252	1	47225797	47230750
ENSG00000226266	2	159635077	159712953
ENSG00000226281	6	6692737	6801186
ENSG00000226308	20	57266306	57282998
ENSG00000226310	X	57121554	57224805
ENSG00000226355	9	129438216	129447545
ENSG00000226409	6	125340148	125445222
ENSG00000226471	22	28800655	28850593
ENSG00000226530	X	51395901	51465839
ENSG00000226548	2	46848973	46864812
ENSG00000226571	6	139239160	139667290
ENSG00000226578	10	37775371	37784131
ENSG00000226622	2	62533681	62662829
ENSG00000226782	3	177337614	177372116
ENSG00000226798	9	80868848	80922695
ENSG00000226824	7	66654485	66685693
ENSG00000226829	7	68149548	68319679
ENSG00000226842	10	32281686	32282829
ENSG00000226872	22	21031354	21044117
ENSG00000226877	9	83817569	83868532
ENSG00000226899	10	124945204	124946432
ENSG00000226900	10	132508394	132518367
ENSG00000226939	2	139234614	139379150
ENSG00000226954	22	49718053	49724506
ENSG00000226965	7	110108030	110534923
ENSG00000226994	2	34799835	35185689
ENSG00000226996	21	24043257	24050286
ENSG00000227088	2	77652025	78290469
ENSG00000227186	10	75023475	75024251
ENSG00000227218	9	127916078	127940954
ENSG00000227297	20	57599695	57601200
ENSG00000227355	9	121369530	121548655
ENSG00000227388	9	35772163	35790434
ENSG00000227407	19	54430654	54434698
ENSG00000227455	6	164827724	164832115
ENSG00000227463	9	84059298	84099169
ENSG00000227486	X	55908037	56209271
ENSG00000227516	6	41868622	41869731
ENSG00000227619	9	129575117	129584557
ENSG00000227627	6	152983327	152991322
ENSG00000227678	6	130133410	130146179
ENSG00000227706	6	67878316	67889339
ENSG00000227712	1	119160535	119379295
ENSG00000227716	21	23408555	23490724
ENSG00000227733	1	148159213	148263380
ENSG00000227769	2	215004782	215085488
ENSG00000227863	7	89354192	89496918
ENSG00000227885	6	53724325	53794904
ENSG00000227912	10	2150480	2169460
ENSG00000228005	7	50141540	50142823
ENSG00000228010	7	6663928	6708901
ENSG00000228021	10	125683211	125717616
ENSG00000228031	7	137344930	137354483
ENSG00000228061	11	31618124	31767953
ENSG00000228107	21	36360630	36362040
ENSG00000228150	1	9909408	9949974
ENSG00000228151	7	149398204	149401456
ENSG00000228170	6	3138394	3153062
ENSG00000228204	7	50866747	51022990
ENSG00000228274	22	38667585	38681871
ENSG00000228302	10	12223754	12247845
ENSG00000228392	9	126286999	126298593
ENSG00000228395	9	128528603	128552494
ENSG00000228401	9	136647865	136663334
ENSG00000228408	6	149217926	149245554
ENSG00000228417	10	110207850	110208591
ENSG00000228427	X	71122433	71198507
ENSG00000228484	10	114764788	114794346
ENSG00000228509	2	190672297	190882073
ENSG00000228528	2	104701290	104708138
ENSG00000228541	2	62234579	62667222
ENSG00000228543	X	9249414	9275206
ENSG00000228549	1	16870945	16883659
ENSG00000228559	6	35497525	35593329
ENSG00000228655	2	143295421	143598002
ENSG00000228680	7	43239066	43249281
ENSG00000228692	6	163586583	163588165
ENSG00000228697	1	168369291	168495838
ENSG00000228734	1	63249920	63251771
ENSG00000228779	16	125737	127219
ENSG00000228793	6	3585101	3720115
ENSG00000228802	2	223965701	223967706
ENSG00000228862	8	60629662	60653984
ENSG00000228863	1	160647034	160699761
ENSG00000228876	2	16224047	16333978
ENSG00000228925	2	46899236	46908678
ENSG00000228933	X	27016335	27399033
ENSG00000228999	2	21932659	22749276
ENSG00000229021	1	151994531	152078445
ENSG00000229065	9	95113708	95114461
ENSG00000229227	10	46597918	46612160
ENSG00000229261	10	69215333	69232490
ENSG00000229282	6	3055849	3057357
ENSG00000229301	7	63353915	63378842
ENSG00000229321	2	206798325	206926876
ENSG00000229330	17	66676372	66677404
ENSG00000229337	2	176989418	177213200
ENSG00000229425	21	15368955	15627367
ENSG00000229491	X	45183251	45333922
ENSG00000229498	2	85815130	85825391
ENSG00000229587	9	75009828	75016036
ENSG00000229618	7	12726152	13751920
ENSG00000229625	8	98961428	98968284
ENSG00000229672	10	3730666	3769404
ENSG00000229717	4	75822931	75838389
ENSG00000229727	2	7293688	7450544
ENSG00000229770	22	26161903	26169610
ENSG00000229774	2	120683217	120710640
ENSG00000229791	13	19408042	19409529
ENSG00000229797	2	130742906	130755879
ENSG00000229905	1	760911	761989
ENSG00000229983	1	212168207	212190259
ENSG00000230000	7	63348549	63351853
ENSG00000230074	9	34665461	34943021
ENSG00000230100	X	48333675	48334439
ENSG00000230303	9	85756042	85805907
ENSG00000230333	7	11180902	11520175
ENSG00000230392	X	119291529	119335610
ENSG00000230423	6	170612424	170745923
ENSG00000230454	3	50260249	50263358
ENSG00000230471	22	15557577	15625205
ENSG00000230490	13	33354744	33676883
ENSG00000230492	20	22995409	23030812
ENSG00000230534	10	35098006	35127020
ENSG00000230612	5	132688681	132723725
ENSG00000230615	1	44030414	44115913
ENSG00000230623	1	200333193	200479399
ENSG00000230647	17	14374062	14527707
ENSG00000230686	2	191017954	191019079
ENSG00000230696	2	109594693	109605698
ENSG00000230709	17	16975999	16981353
ENSG00000230732	3	196912646	196914579
ENSG00000230733	7	5475804	5479811
ENSG00000230746	7	145615778	145681560
ENSG00000230751	7	30140870	30141417
ENSG00000230773	2	47924181	48314415
ENSG00000230848	9	128017444	128057462
ENSG00000230896	1	45694684	45697075
ENSG00000230898	1	166147782	166165095
ENSG00000230912	22	38666508	38668750
ENSG00000230947	22	24598054	24599398
ENSG00000230955	1	37860697	37861580
ENSG00000230991	2	154964308	155231288
ENSG00000231024	2	69700192	69713847
ENSG00000231092	2	216259595	216266130
ENSG00000231189	2	223498773	223504611
ENSG00000231252	1	60659631	60868041
ENSG00000231297	6	166098037	166114420
ENSG00000231329	6	139144204	139239653
ENSG00000231336	2	46166789	46167978
ENSG00000231412	19	43323549	43331550
ENSG00000231424	1	170748573	171251857
ENSG00000231440	1	240588522	240590748
ENSG00000231530	13	42043727	42044247
ENSG00000231533	6	79420172	79529276
ENSG00000231703	20	53397661	53412910
ENSG00000231704	7	6078743	6096752
ENSG00000231714	1	194350943	194352426
ENSG00000231731	2	127455394	127514623
ENSG00000231760	6	149796151	149799150
ENSG00000231769	6	46096004	46129857
ENSG00000231829	10	95109136	95111642
ENSG00000231856	13	51803838	51813834
ENSG00000231863	6	160925849	160985624
ENSG00000231868	1	6443034	6447006
ENSG00000231873	3	40719859	40862846
ENSG00000231876	16	26302064	26364293
ENSG00000231881	6	44058792	44089288
ENSG00000231892	7	3196626	3198256
ENSG00000231896	2	208469850	208540413
ENSG00000231918	2	51032601	52407917
ENSG00000231953	1	25208047	25209437
ENSG00000232035	9	10631750	10632203
ENSG00000232053	7	135980871	136437785
ENSG00000232063	9	94332450	94371368
ENSG00000232110	10	89283636	89292125
ENSG00000232124	21	44198797	44208090
ENSG00000232140	2	120552481	120558119
ENSG00000232220	19	53869654	53876435
ENSG00000232234	6	8102711	8440031
ENSG00000232328	2	236733289	236755151
ENSG00000232342	10	74506081	74530553
ENSG00000232353	3	192029880	192036557
ENSG00000232358	20	50999340	51010019
ENSG00000232464	22	25959074	25983526
ENSG00000232494	9	79866686	79888986
ENSG00000232512	21	25095022	25103670
ENSG00000232518	2	38636422	38671447
ENSG00000232555	2	172301145	172370401
ENSG00000232611	X	136840931	136847797
ENSG00000232628	1	224208740	224213625
ENSG00000232642	2	24165884	24175005
ENSG00000232667	7	80246409	80391474
ENSG00000232696	2	46078015	46078828
ENSG00000232719	2	201101382	201103136
ENSG00000232721	1	143729470	143739506
ENSG00000232732	2	199867396	199912043
ENSG00000232748	16	31056460	31062803
ENSG00000232807	10	5932391	5945920
ENSG00000232811	1	110943467	110952848
ENSG00000232817	7	63367298	63394662
ENSG00000232828	X	48636633	48801376
ENSG00000232855	21	28328738	28836786
ENSG00000232876	6	135054992	135061346
ENSG00000232884	21	14676685	14763590
ENSG00000232896	9	110599418	110605219
ENSG00000232934	10	112395813	112425589
ENSG00000232978	9	19291337	19292576
ENSG00000232986	13	33657436	33659928
ENSG00000233178	9	68374876	68406500
ENSG00000233223	17	7581960	7584102
ENSG00000233242	9	37111972	37121165
